,Status,Meal plan identifier,Segmentation,Lenght of the stay,Day of week,Room type ok,Non refundable
243,Confirmed,BB,Travel agency,2,Weekend,Double Standard,Free cancellation
244,Confirmed,BB,Flash sales / Boxes,2,Weekend,Double Deluxe,Free cancellation
245,Confirmed,BB,Flash sales / Boxes,2,Weekend,Double Standard,Free cancellation
246,Confirmed,BB,Travel agency,3,Weekend,Double Standard,Free cancellation
247,Confirmed,RO,Online Travel agency,1,Weekend,Triple Standard,Non refundable
248,Confirmed,RO,Direct reservation / Walk-in,1,Weekend,Double Deluxe,Non refundable
249,Confirmed,BB,Flash sales / Boxes,1,Weekend,Double Standard,Free cancellation
250,Confirmed,BB,Flash sales / Boxes,2,Weekend,Double Deluxe,Free cancellation
251,Confirmed,RO,Online Travel agency,4,Weekend,Double Standard,Non refundable
252,Confirmed,BB,Flash sales / Boxes,1,Weekend,Double Deluxe,Free cancellation
253,Confirmed,BB,Travel agency,1,Weekend,Double Standard,Free cancellation
254,Confirmed,BB,Corporate/Mice,1,Weekend,Double Standard,Free cancellation
255,Confirmed,RO,Online Travel agency,1,Weekend,Double Standard,Free cancellation
256,Confirmed,RO,Direct reservation / Walk-in,1,Weekend,Double Deluxe,Free cancellation
257,Confirmed,BB,Travel agency,1,Weekend,Double Standard,Free cancellation
258,Confirmed,RO,Direct reservation / Walk-in,1,Weekend,Double Standard,Non refundable
259,Confirmed,BB,Tour Operator,2,Weekend,Double Standard,Free cancellation
260,Confirmed,RO,Online Travel agency,2,Weekend,Triple Standard,Non refundable
261,Confirmed,RO,Online Travel agency,1,Weekend,Double Standard,Non refundable
262,Confirmed,RO,Online Travel agency,2,Weekend,Double Standard,Non refundable
263,Confirmed,BB,Travel agency,4,Weekend,Double Standard,Free cancellation
264,Confirmed,BB,Travel agency,4,Weekend,Double Standard,Free cancellation
265,Confirmed,BB,Flash sales / Boxes,2,Weekend,Double Deluxe,Free cancellation
266,Confirmed,RO,Online Travel agency,1,Weekend,Double Standard,Free cancellation
267,Confirmed,BB,Online Travel agency,2,Weekend,Double Standard,Free cancellation
