Numero Reserva,Cliente Comercial,Fecha llegada,Fecha de salida,Tipo de habitación,Estado,Identificador régimen alimenticio,Tarifa,Fecha de Creación,Nº de pax del tipo 1 alojados,Fecha de cancelación,VIP,Identificador segmento de mercado,Identificador procedencia de negocio,País,Identificador de canal
5475734,DIRECT,25/6/2019,29/6/2019,DBLSTD,Confirmada,RO,B_BAR_NR,25/6/2019,2,,,DIR,DIR,ES,EMAIL
5475938,SELECTIVE TRAVEL MANAGEMENT,27/6/2019,28/6/2019,DBLSTD,Confirmada,BB,C_150/170,25/6/2019,1,,5,CORP,EMP,GB,EMAIL
5476172,BOOKING.COM,26/6/2019,28/6/2019,DBLSTDST,Confirmada,RO,X_BAR_NR,25/6/2019,1,,,ONL,ONL,,XML
5476267,EXPEDIA,25/6/2019,26/6/2019,DBLSTD,Confirmada,RO,X_BAR_NR,25/6/2019,1,,,ONL,ONL,US,XML
5476382,BOOKING.COM,28/6/2019,1/7/2019,DBLSTD,Confirmada,RO,X_BAR_NR,25/6/2019,1,,,ONL,ONL,,XML
5476538,BOOKING.COM,25/6/2019,26/6/2019,DBLSTDST,Confirmada,RO,X_BAR_NR,25/6/2019,1,,,ONL,ONL,,XML
5476589,BOOKING.COM,29/6/2019,30/6/2019,DBLSTD,Confirmada,RO,X_BAR_NR,25/6/2019,2,,,ONL,ONL,,XML
5476982,BOOKING.COM,28/6/2019,29/6/2019,DBLSTDST,Confirmada,RO,X_BAR,25/6/2019,2,,,ONL,ONL,,XML
5477749,EXPEDIA,26/6/2019,27/6/2019,DBLSTD,Confirmada,RO,X_BAR_NR,26/6/2019,1,,,ONL,ONL,US,XML
5478266,EXPEDIA,26/6/2019,29/6/2019,DBLSTD,Confirmada,RO,X_BAR_NR,26/6/2019,1,,,ONL,ONL,US,XML
5478283,UK POWER NETWORKS HOLDINGS,26/6/2019,28/6/2019,DBLSTD,Confirmada,BB,C_155/175,26/6/2019,1,,5,CORP,EMP,GB,EMAIL
5478395,RED LETTER DAYS,29/6/2019,30/6/2019,DBLSTD,Confirmada,BB,BFL_RED,26/6/2019,2,,,ONL,ONL,GB,EMAIL
5478544,HOTEL TONIGHT UK,26/6/2019,27/6/2019,DBLSTD,Confirmada,RO,B_BAR_NR,26/6/2019,2,,,ONL,UK,GB,EMAIL
5478553,COMPANIES,27/6/2019,28/6/2019,DBLSTD,Confirmada,BB,G_BASE_20,1/4/2019,1,,,CORP,UK,ES,EMAIL
5478554,COMPANIES,27/6/2019,28/6/2019,DBLSTD,Confirmada,BB,G_BASE_20,1/4/2019,1,,,CORP,UK,ES,EMAIL
5479382,DIRECT,26/6/2019,27/6/2019,DBLSTD,Confirmada,RO,B_BAR_NR,26/6/2019,1,,,DIR,DIR,ES,EMAIL
5479383,DIRECT,26/6/2019,27/6/2019,DBLSTD,Confirmada,RO,B_BAR_NR,26/6/2019,1,,,DIR,DIR,ES,EMAIL
5479756,BOOKING.COM,30/6/2019,1/7/2019,DBLSTD,Confirmada,RO,X_BAR_NR,26/6/2019,2,,,ONL,ONL,,XML
5480731,HOTEL TONIGHT UK,26/6/2019,27/6/2019,DBLSTD,Confirmada,RO,B_BAR_NR,26/6/2019,2,,,ONL,ONL,GB,EMAIL
5481210,BOOKING.COM,28/6/2019,29/6/2019,DBLSTD,Confirmada,BB,X_BAR,26/6/2019,2,,,ONL,ONL,,XML
5481550,BOOKING.COM,28/6/2019,29/6/2019,DBLSTDST,Confirmada,RO,X_BAR_NR,26/6/2019,2,,,ONL,ONL,,XML
5481610,CLUB H10,28/6/2019,29/6/2019,DBLSUP,Confirmada,HB,W_BAR_NR,26/6/2019,2,,,DIR,DIR,ES,WEB
